,t1_p,t1ce_p,t2_p,flair_p,seg_p
73,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_ASW_1/Brats18_CBICA_ASW_1_t1.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_ASW_1/Brats18_CBICA_ASW_1_t1ce.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_ASW_1/Brats18_CBICA_ASW_1_t2.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_ASW_1/Brats18_CBICA_ASW_1_flair.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_ASW_1/Brats18_CBICA_ASW_1_seg.nii.gz
74,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_ASY_1/Brats18_CBICA_ASY_1_t1.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_ASY_1/Brats18_CBICA_ASY_1_t1ce.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_ASY_1/Brats18_CBICA_ASY_1_t2.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_ASY_1/Brats18_CBICA_ASY_1_flair.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_ASY_1/Brats18_CBICA_ASY_1_seg.nii.gz
75,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_ATB_1/Brats18_CBICA_ATB_1_t1.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_ATB_1/Brats18_CBICA_ATB_1_t1ce.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_ATB_1/Brats18_CBICA_ATB_1_t2.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_ATB_1/Brats18_CBICA_ATB_1_flair.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_ATB_1/Brats18_CBICA_ATB_1_seg.nii.gz
76,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_ATD_1/Brats18_CBICA_ATD_1_t1.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_ATD_1/Brats18_CBICA_ATD_1_t1ce.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_ATD_1/Brats18_CBICA_ATD_1_t2.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_ATD_1/Brats18_CBICA_ATD_1_flair.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_ATD_1/Brats18_CBICA_ATD_1_seg.nii.gz
77,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_ATF_1/Brats18_CBICA_ATF_1_t1.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_ATF_1/Brats18_CBICA_ATF_1_t1ce.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_ATF_1/Brats18_CBICA_ATF_1_t2.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_ATF_1/Brats18_CBICA_ATF_1_flair.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_ATF_1/Brats18_CBICA_ATF_1_seg.nii.gz
78,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_ATP_1/Brats18_CBICA_ATP_1_t1.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_ATP_1/Brats18_CBICA_ATP_1_t1ce.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_ATP_1/Brats18_CBICA_ATP_1_t2.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_ATP_1/Brats18_CBICA_ATP_1_flair.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_ATP_1/Brats18_CBICA_ATP_1_seg.nii.gz
79,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_ATV_1/Brats18_CBICA_ATV_1_t1.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_ATV_1/Brats18_CBICA_ATV_1_t1ce.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_ATV_1/Brats18_CBICA_ATV_1_t2.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_ATV_1/Brats18_CBICA_ATV_1_flair.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_ATV_1/Brats18_CBICA_ATV_1_seg.nii.gz
80,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_ATX_1/Brats18_CBICA_ATX_1_t1.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_ATX_1/Brats18_CBICA_ATX_1_t1ce.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_ATX_1/Brats18_CBICA_ATX_1_t2.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_ATX_1/Brats18_CBICA_ATX_1_flair.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_ATX_1/Brats18_CBICA_ATX_1_seg.nii.gz
81,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AUN_1/Brats18_CBICA_AUN_1_t1.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AUN_1/Brats18_CBICA_AUN_1_t1ce.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AUN_1/Brats18_CBICA_AUN_1_t2.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AUN_1/Brats18_CBICA_AUN_1_flair.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AUN_1/Brats18_CBICA_AUN_1_seg.nii.gz
82,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AUQ_1/Brats18_CBICA_AUQ_1_t1.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AUQ_1/Brats18_CBICA_AUQ_1_t1ce.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AUQ_1/Brats18_CBICA_AUQ_1_t2.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AUQ_1/Brats18_CBICA_AUQ_1_flair.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AUQ_1/Brats18_CBICA_AUQ_1_seg.nii.gz
83,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AUR_1/Brats18_CBICA_AUR_1_t1.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AUR_1/Brats18_CBICA_AUR_1_t1ce.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AUR_1/Brats18_CBICA_AUR_1_t2.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AUR_1/Brats18_CBICA_AUR_1_flair.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AUR_1/Brats18_CBICA_AUR_1_seg.nii.gz
84,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AVG_1/Brats18_CBICA_AVG_1_t1.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AVG_1/Brats18_CBICA_AVG_1_t1ce.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AVG_1/Brats18_CBICA_AVG_1_t2.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AVG_1/Brats18_CBICA_AVG_1_flair.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AVG_1/Brats18_CBICA_AVG_1_seg.nii.gz
85,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AVJ_1/Brats18_CBICA_AVJ_1_t1.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AVJ_1/Brats18_CBICA_AVJ_1_t1ce.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AVJ_1/Brats18_CBICA_AVJ_1_t2.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AVJ_1/Brats18_CBICA_AVJ_1_flair.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AVJ_1/Brats18_CBICA_AVJ_1_seg.nii.gz
86,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AVV_1/Brats18_CBICA_AVV_1_t1.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AVV_1/Brats18_CBICA_AVV_1_t1ce.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AVV_1/Brats18_CBICA_AVV_1_t2.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AVV_1/Brats18_CBICA_AVV_1_flair.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AVV_1/Brats18_CBICA_AVV_1_seg.nii.gz
87,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AWG_1/Brats18_CBICA_AWG_1_t1.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AWG_1/Brats18_CBICA_AWG_1_t1ce.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AWG_1/Brats18_CBICA_AWG_1_t2.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AWG_1/Brats18_CBICA_AWG_1_flair.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AWG_1/Brats18_CBICA_AWG_1_seg.nii.gz
88,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AWH_1/Brats18_CBICA_AWH_1_t1.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AWH_1/Brats18_CBICA_AWH_1_t1ce.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AWH_1/Brats18_CBICA_AWH_1_t2.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AWH_1/Brats18_CBICA_AWH_1_flair.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AWH_1/Brats18_CBICA_AWH_1_seg.nii.gz
89,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AWI_1/Brats18_CBICA_AWI_1_t1.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AWI_1/Brats18_CBICA_AWI_1_t1ce.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AWI_1/Brats18_CBICA_AWI_1_t2.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AWI_1/Brats18_CBICA_AWI_1_flair.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AWI_1/Brats18_CBICA_AWI_1_seg.nii.gz
90,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AXJ_1/Brats18_CBICA_AXJ_1_t1.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AXJ_1/Brats18_CBICA_AXJ_1_t1ce.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AXJ_1/Brats18_CBICA_AXJ_1_t2.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AXJ_1/Brats18_CBICA_AXJ_1_flair.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AXJ_1/Brats18_CBICA_AXJ_1_seg.nii.gz
91,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AXL_1/Brats18_CBICA_AXL_1_t1.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AXL_1/Brats18_CBICA_AXL_1_t1ce.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AXL_1/Brats18_CBICA_AXL_1_t2.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AXL_1/Brats18_CBICA_AXL_1_flair.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AXL_1/Brats18_CBICA_AXL_1_seg.nii.gz
92,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AXM_1/Brats18_CBICA_AXM_1_t1.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AXM_1/Brats18_CBICA_AXM_1_t1ce.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AXM_1/Brats18_CBICA_AXM_1_t2.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AXM_1/Brats18_CBICA_AXM_1_flair.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AXM_1/Brats18_CBICA_AXM_1_seg.nii.gz
93,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AXN_1/Brats18_CBICA_AXN_1_t1.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AXN_1/Brats18_CBICA_AXN_1_t1ce.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AXN_1/Brats18_CBICA_AXN_1_t2.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AXN_1/Brats18_CBICA_AXN_1_flair.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AXN_1/Brats18_CBICA_AXN_1_seg.nii.gz
94,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AXO_1/Brats18_CBICA_AXO_1_t1.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AXO_1/Brats18_CBICA_AXO_1_t1ce.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AXO_1/Brats18_CBICA_AXO_1_t2.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AXO_1/Brats18_CBICA_AXO_1_flair.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AXO_1/Brats18_CBICA_AXO_1_seg.nii.gz
95,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AXQ_1/Brats18_CBICA_AXQ_1_t1.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AXQ_1/Brats18_CBICA_AXQ_1_t1ce.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AXQ_1/Brats18_CBICA_AXQ_1_t2.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AXQ_1/Brats18_CBICA_AXQ_1_flair.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AXQ_1/Brats18_CBICA_AXQ_1_seg.nii.gz
96,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AXW_1/Brats18_CBICA_AXW_1_t1.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AXW_1/Brats18_CBICA_AXW_1_t1ce.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AXW_1/Brats18_CBICA_AXW_1_t2.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AXW_1/Brats18_CBICA_AXW_1_flair.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AXW_1/Brats18_CBICA_AXW_1_seg.nii.gz
97,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AYA_1/Brats18_CBICA_AYA_1_t1.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AYA_1/Brats18_CBICA_AYA_1_t1ce.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AYA_1/Brats18_CBICA_AYA_1_t2.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AYA_1/Brats18_CBICA_AYA_1_flair.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AYA_1/Brats18_CBICA_AYA_1_seg.nii.gz
98,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AYI_1/Brats18_CBICA_AYI_1_t1.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AYI_1/Brats18_CBICA_AYI_1_t1ce.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AYI_1/Brats18_CBICA_AYI_1_t2.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AYI_1/Brats18_CBICA_AYI_1_flair.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AYI_1/Brats18_CBICA_AYI_1_seg.nii.gz
99,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AYU_1/Brats18_CBICA_AYU_1_t1.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AYU_1/Brats18_CBICA_AYU_1_t1ce.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AYU_1/Brats18_CBICA_AYU_1_t2.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AYU_1/Brats18_CBICA_AYU_1_flair.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AYU_1/Brats18_CBICA_AYU_1_seg.nii.gz
100,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AYW_1/Brats18_CBICA_AYW_1_t1.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AYW_1/Brats18_CBICA_AYW_1_t1ce.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AYW_1/Brats18_CBICA_AYW_1_t2.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AYW_1/Brats18_CBICA_AYW_1_flair.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AYW_1/Brats18_CBICA_AYW_1_seg.nii.gz
101,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AZD_1/Brats18_CBICA_AZD_1_t1.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AZD_1/Brats18_CBICA_AZD_1_t1ce.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AZD_1/Brats18_CBICA_AZD_1_t2.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AZD_1/Brats18_CBICA_AZD_1_flair.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AZD_1/Brats18_CBICA_AZD_1_seg.nii.gz
102,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AZH_1/Brats18_CBICA_AZH_1_t1.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AZH_1/Brats18_CBICA_AZH_1_t1ce.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AZH_1/Brats18_CBICA_AZH_1_t2.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AZH_1/Brats18_CBICA_AZH_1_flair.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_AZH_1/Brats18_CBICA_AZH_1_seg.nii.gz
103,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_BFB_1/Brats18_CBICA_BFB_1_t1.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_BFB_1/Brats18_CBICA_BFB_1_t1ce.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_BFB_1/Brats18_CBICA_BFB_1_t2.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_BFB_1/Brats18_CBICA_BFB_1_flair.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_BFB_1/Brats18_CBICA_BFB_1_seg.nii.gz
104,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_BFP_1/Brats18_CBICA_BFP_1_t1.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_BFP_1/Brats18_CBICA_BFP_1_t1ce.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_BFP_1/Brats18_CBICA_BFP_1_t2.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_BFP_1/Brats18_CBICA_BFP_1_flair.nii.gz,/mnt/e//Image Processing/Brats Project/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_CBICA_BFP_1/Brats18_CBICA_BFP_1_seg.nii.gz
